Region,Date,Unemployment_Rate
Kerala,2020-01-31,6.65
Kerala,2020-02-29,6.08
Kerala,2020-03-31,9.14
Kerala,2020-04-30,21.43
Kerala,2020-05-31,30.28
Kerala,2020-06-30,12.17
Madhya Pradesh,2019-05-31,3.91
Madhya Pradesh,2019-06-30,6.38
Madhya Pradesh,2019-07-31,7.38
Madhya Pradesh,2019-08-31,6.82
Madhya Pradesh,2019-09-30,7.0
Madhya Pradesh,2019-10-31,4.4
Madhya Pradesh,2019-11-30,6.06
Madhya Pradesh,2019-12-31,6.2
Madhya Pradesh,2020-01-31,5.17
Madhya Pradesh,2020-02-29,4.96
Madhya Pradesh,2020-03-31,4.8
Madhya Pradesh,2020-04-30,11.94
Madhya Pradesh,2020-05-31,40.49
Madhya Pradesh,2020-06-30,12.72
Maharashtra,2019-05-31,6.08
Maharashtra,2019-06-30,6.46
Maharashtra,2019-07-31,6.35
Maharashtra,2019-08-31,7.57
Maharashtra,2019-09-30,7.6
Maharashtra,2019-10-31,7.51
Maharashtra,2019-11-30,7.6
Maharashtra,2019-12-31,7.83
Maharashtra,2020-01-31,6.67
Maharashtra,2020-02-29,5.34
Maharashtra,2020-03-31,6.34
Maharashtra,2020-04-30,14.99
Maharashtra,2020-05-31,15.92
Maharashtra,2020-06-30,10.01
Meghalaya,2019-05-31,8.4
Meghalaya,2019-06-30,8.66
Meghalaya,2019-07-31,4.43
Meghalaya,2019-08-31,5.8
Meghalaya,2019-09-30,5.3
Meghalaya,2019-10-31,7.2
Meghalaya,2019-11-30,3.02
Meghalaya,2019-12-31,5.21
Meghalaya,2020-01-31,4.76
Meghalaya,2020-02-29,7.37
Meghalaya,2020-03-31,2.8
Meghalaya,2020-04-30,17.39
Meghalaya,2020-05-31,14.58
Odisha,2019-05-31,2.95
Odisha,2019-06-30,2.63
Odisha,2019-07-31,1.78
Odisha,2019-08-31,3.5
Odisha,2019-09-30,3.78
Odisha,2019-10-31,4.5
Odisha,2019-11-30,2.23
Odisha,2019-12-31,3.36
Odisha,2020-01-31,2.28
Odisha,2020-02-29,2.19
Odisha,2020-03-31,3.96
Odisha,2020-04-30,20.5
Odisha,2020-05-31,10.0
Odisha,2020-06-30,2.18
Puducherry,2019-05-31,1.25
Puducherry,2019-06-30,0.0
Puducherry,2019-07-31,0.0
Puducherry,2019-08-31,8.95
Puducherry,2019-09-30,1.22
Puducherry,2019-10-31,1.17
Puducherry,2019-11-30,1.37
Puducherry,2019-12-31,5.21
Puducherry,2020-01-31,0.57
